x y z t
0.201 0.116 8.922 5
0.201 0.116 8.922 5
0.201 0.116 8.922 6
0.201 0.116 8.922 5
0.345 0.059 9.678 4
0.345 0.059 9.678 5
0.345 0.059 9.678 5
0.058 0.155 9.784 5
0.058 0.155 9.784 5
0.058 0.155 9.784 6
0.058 0.155 9.784 4
0.115 0.02 9.535 5
0.115 0.02 9.535 5
0.115 0.02 9.535 5
0.115 0.02 9.535 5
-0.152 0.04 9.487 6
-0.152 0.04 9.487 5
-0.152 0.04 9.487 4
-0.152 0.04 9.487 5
0.287 0.183 9.573 5
0.287 0.183 9.573 5
0.287 0.183 9.573 6
0.287 0.183 9.573 5
0.163 -0.017 9.87 4
0.163 -0.017 9.87 5
0.163 -0.017 9.87 5
0.163 -0.017 9.87 5
0.115 0.269 8.931 6
0.115 0.269 8.931 5
0.115 0.269 8.931 4
0.115 0.269 8.931 5
-0.19 -0.141 9.65 5
-0.19 -0.141 9.65 5
-0.19 -0.141 9.65 5
-0.19 -0.141 9.65 6
0.115 0.222 9.563 4
0.115 0.222 9.563 5
0.115 0.222 9.563 5
0.115 0.222 9.563 5
0.307 0.279 9.027 5
0.307 0.279 9.027 6
0.307 0.279 9.027 5
0.307 0.279 9.027 4
0.24 0.155 9.477 5
0.24 0.155 9.477 5
0.24 0.155 9.477 5
0.24 0.155 9.477 6
0.0 -0.18 9.784 5
0.0 -0.18 9.784 4
0.0 -0.18 9.784 5
0.0 -0.18 9.784 5
-0.104 0.135 9.487 5
-0.104 0.135 9.487 5
-0.104 0.135 9.487 6
0.192 0.097 9.688 4
0.192 0.097 9.688 5
0.192 0.097 9.688 5
0.192 0.097 9.688 5
0.125 0.107 9.803 5
0.125 0.107 9.803 6
0.125 0.107 9.803 5
0.125 0.107 9.803 4
0.201 0.059 9.745 5
0.201 0.059 9.745 5
0.201 0.059 9.745 5
0.201 0.059 9.745 6
0.048 0.04 9.324 5
0.048 0.04 9.324 4
0.048 0.04 9.324 6
0.048 0.04 9.324 4
0.0 0.384 8.941 5
0.0 0.384 8.941 6
0.0 0.384 8.941 5
0.0 0.384 8.941 4
0.096 -0.007 9.707 5
0.096 -0.007 9.707 5
0.096 -0.007 9.707 5
0.096 -0.007 9.707 5
-0.143 0.001 10.013 6
-0.143 0.001 10.013 4
-0.143 0.001 10.013 5
-0.143 0.001 10.013 5
0.24 0.241 9.305 5
0.24 0.241 9.305 5
0.24 0.241 9.305 6
0.24 0.241 9.305 5
0.067 0.059 9.65 4
0.067 0.059 9.65 5
0.067 0.059 9.65 5
0.067 0.059 9.65 5
0.297 0.068 9.41 6
0.297 0.068 9.41 5
0.297 0.068 9.41 4
0.297 0.068 9.41 5
-0.056 0.212 9.257 5
-0.056 0.212 9.257 5
-0.056 0.212 9.257 6
-0.056 0.212 9.257 5
