name,x_mean,x_std,x_skew,x_kurt,x_rms,x_pp,x_crest,x_margin,x_shape,x_max,y_mean,y_std,y_skew,y_kurt,y_rms,y_pp,y_crest,y_margin,y_shape,y_max,z_mean,z_std,z_skew,z_kurt,z_rms,z_pp,z_crest,z_margin,z_shape,z_max
k5_2.tsv.part.0,0.008520039370585795,1.515814913501501,-0.3204028057715053,-0.3204028057715053,1.515838857881813,6.298901367187504,2.1919820018090803,2.605009207857142,1.1137821300410493,2.976209873067738,-0.02048399155560368,2.327370406881638,0.08923802864735879,0.08923802864735879,2.3274605484816386,9.580078125,2.1080653304161245,2.452273964447915,1.0955125549585365,4.67363923483456,0.02148003791360557,0.22068213250136484,0.51458111134561,0.51458111134561,0.22172504512147445,1.676513671875,4.838031766103082,7.387246046172156,1.2809139470015876,1.0727128116383327
k5_2.tsv.part.1,0.009865476813141037,1.5137167778949694,-0.33179075534190955,-0.33179075534190955,1.5137489261147237,5.8677978515625,2.1317212235136553,2.529610493614617,1.1130588248102895,2.6409071386927394,-0.022996414005052243,2.32221525389252,0.1014435953445179,0.1014435953445179,2.3223291154503043,9.556127929687499,2.064044316331801,2.4065557428582838,1.0967081524167352,4.79339021139706,0.028618135340076154,0.2302741906705963,0.5364913133034952,0.5364913133034952,0.2320456863622788,1.7244140625000028,5.138918145365183,7.824389788833061,1.2790834529613013,1.1924637882008327
k5_2.tsv.part.2,-0.0036663835384215518,1.507679020080856,-0.3178946250567346,-0.3178946250567346,1.5076834780418007,5.891748046874994,2.14029719093353,2.5381637323078388,1.113073890572185,2.6648573340052337,0.004828077607999265,2.3214445183486956,0.09077149791191064,0.09077149791191064,2.321449538995969,9.651928710937497,2.1032069027718876,2.452907196033795,1.0972649843828834,4.769440016084559,0.0006011029411790823,0.22700968729503854,0.4595261188190402,0.4595261188190402,0.22701048312916536,1.6525634765624986,4.514383683462881,6.766382962847804,1.2657654926734727,1.0248124210133298
k5_2.tsv.part.3,-0.004180608320131076,1.5117660845221308,-0.31072664220954543,-0.31072664220954543,1.511771864997262,5.8677978515625,2.1028241071615144,2.4929118628679086,1.1128326979135805,2.688807529317735,0.013842273667282315,2.323726709738198,0.09225497610048497,0.09225497610048497,2.323767938089127,9.436376953124999,2.04957545038121,2.3959823805348335,1.0981634092048542,4.67363923483456,-0.022114013671872393,0.22472214770201906,0.496404103824864,0.496404103824864,0.2258076023265998,1.5807128906250014,4.114173438765109,6.012954566906274,1.2465358575117165,0.9290116397633312
k5_2.tsv.part.4,-0.011520638765903144,1.5012979220384415,-0.3046893678349678,-0.3046893678349678,1.5013421248451388,5.963598632812499,2.149337355869242,2.5512462827357387,1.113898666311239,2.736707919942738,0.024810054285388943,2.323086600050905,0.08691068861554797,0.08691068861554797,2.3232190792367637,9.436376953124999,2.039750605239842,2.387107353679225,1.0991842299060604,4.697589430147062,-0.02858526252297533,0.22607681930562548,0.5465641543223086,0.5465641543223086,0.22787682080645202,1.6525634765624986,4.602322485517742,6.762016200226509,1.2497528043675434,1.0487626163258312
k5_3.tsv.part.0,0.0012029411785218593,1.501500153762855,-0.3026398837105467,-0.3026398837105467,1.5015006356366807,5.963598632812506,2.1304858687111836,2.5377353508090037,1.1164341399548405,2.7646727467276975,-0.005889869600184568,2.329350377172126,0.09513484650214295,0.09513484650214295,2.3293578235633596,9.580078125,2.0599120692445694,2.4081167680990974,1.0987983489686337,4.781805830652573,0.02175194307215245,0.22102962301067147,0.4134409505353718,0.4134409505353718,0.22209736890754403,1.6525634765624986,4.594761679782316,6.86274553814785,1.2641089158447292,1.0204844798368597
k5_3.tsv.part.1,-0.0035542250668826134,1.4939376254057934,-0.30202903124395003,-0.30202903124395003,1.4939418533259345,5.915698242187496,2.1572968681627565,2.5708280745707492,1.1166989618665581,2.692822160790193,0.0017436681410837932,2.332829890225439,0.08304396169650743,0.08304396169650743,2.332830541875646,9.651928710937504,2.087645370233042,2.4455468891361924,1.0998825669784738,4.781805830652573,0.01885209099264879,0.22661843167703127,0.41809774526043453,0.41809774526043453,0.22740122011667482,1.6286132812500043,4.487594566613453,6.680968606952744,1.2617883223100599,1.0204844798368597
k5_3.tsv.part.2,0.0007896829064630181,1.500255915443813,-0.31542808674073497,-0.31542808674073497,1.5002561232747047,6.011499023437501,2.1961094617252397,2.6155232205429098,1.1163860315926726,2.7167723561026946,0.0003324850643374744,2.3335175521104654,0.09607287572600912,0.09607287572600912,2.333517575797092,9.843530273437501,2.1178214029668623,2.4746170111542574,1.0985219943594604,4.901556807215073,-0.00737102481617476,0.2230239107416572,0.4520882025877368,0.4520882025877368,0.22314568507892626,1.7962646484375,5.431814833919572,8.008209171287263,1.2540193866700309,1.212086042336857
k5_3.tsv.part.3,-0.005181429513114205,1.498044234230979,-0.29850426554475956,-0.29850426554475956,1.498053194958203,5.987548828125,2.1513762610327225,2.5610033167613038,1.115875299229255,2.7646727467276975,0.0034060934627749657,2.337367835562582,0.08183782207579515,0.08183782207579515,2.337370317300018,9.556127929687506,2.0835906250022838,2.4380740138908172,1.099377885124452,4.686005049402574,-0.01370373822380346,0.22594776069236114,0.4502458704207289,0.4502458704207289,0.22636294529626316,1.676513671875,4.71978692918824,6.955769259995666,1.25334384849114,1.0683848704618555
k5_3.tsv.part.4,0.005748782171168856,1.5033576254107273,-0.30728539639522673,-0.30728539639522673,1.5033686169323317,5.915698242187503,2.1119076552568585,2.5108667334970267,1.115001935224862,2.740722551415196,0.00040762293198456554,2.338865054462769,0.08685020462736057,0.08685020462736057,2.338865089983513,9.747729492187503,2.095698819143786,2.4493917317166125,1.0986947104241425,4.901556807215073,-0.019529271024814478,0.22584351105934036,0.4509061524539629,0.4509061524539629,0.22668631170489995,1.8202148437499943,5.241321534098935,7.6334731310499295,1.2442084365139783,1.1881358470243555
