x y z t
0.307 0.126 9.075 5
0.307 0.126 9.075 5
0.307 0.126 9.075 5
0.307 0.126 9.075 5
0.096 0.107 9.573 5
0.096 0.107 9.573 5
0.096 0.107 9.573 5
0.096 0.107 9.573 5
-0.085 -0.161 9.87 5
-0.085 -0.161 9.87 5
-0.085 -0.161 9.87 5
-0.085 -0.161 9.87 5
0.029 0.059 8.452 5
0.029 0.059 8.452 5
0.029 0.059 8.452 5
0.029 0.059 8.452 5
0.038 0.02 9.908 5
0.038 0.02 9.908 5
0.038 0.02 9.908 5
0.038 0.02 9.908 5
-0.075 0.02 9.362 5
-0.075 0.02 9.362 5
-0.075 0.02 9.362 5
-0.075 0.02 9.362 5
0.096 0.107 9.803 5
0.096 0.107 9.803 5
0.096 0.107 9.803 5
0.096 0.107 9.803 5
-0.018 0.116 9.86 5
-0.018 0.116 9.86 5
-0.018 0.116 9.86 5
-0.018 0.116 9.86 5
0.115 0.068 9.602 5
0.115 0.068 9.602 5
0.115 0.068 9.602 5
0.115 0.068 9.602 5
0.096 -0.094 9.736 5
0.096 -0.094 9.736 5
0.096 -0.094 9.736 5
0.096 -0.094 9.736 5
-0.219 0.116 8.835 5
-0.219 0.116 8.835 5
-0.219 0.116 8.835 5
0.125 0.068 9.726 5
0.125 0.068 9.726 5
0.125 0.068 9.726 5
0.125 0.068 9.726 5
0.077 0.02 8.941 5
0.077 0.02 8.941 5
0.077 0.02 8.941 5
0.077 0.02 8.941 5
-0.123 0.049 9.985 5
-0.123 0.049 9.985 5
-0.123 0.049 9.985 5
-0.123 0.049 9.985 5
-0.075 0.011 10.234 5
-0.075 0.011 10.234 5
-0.075 0.011 10.234 5
-0.075 0.011 10.234 5
0.048 0.068 9.286 5
0.048 0.068 9.286 5
0.048 0.068 9.286 5
0.048 0.068 9.286 5
0.067 0.011 9.429 5
0.067 0.011 9.429 5
0.067 0.011 9.429 5
0.067 0.011 9.429 5
0.019 -0.122 9.19 5
0.019 -0.122 9.19 5
0.019 -0.122 9.19 5
0.019 -0.122 9.19 5
0.163 0.279 9.075 5
0.163 0.279 9.075 5
0.163 0.279 9.075 5
0.163 0.279 9.075 5
-0.238 0.03 9.87 5
-0.238 0.03 9.87 5
-0.238 0.03 9.87 5
-0.238 0.03 9.87 5
-0.2 -0.065 9.831 5
