t,aX,aY,aZ
1884.338,0.797,0.077,0.493
1886.841,0.654,0.984,0.337
1889.343,0.396,0.117,-0.012
1891.846,0.725,-0.095,0.258
1894.348,1.617,0.324,-0.273
1896.851,1.559,-0.575,-0.113
1899.353,1.496,-0.868,0.092
1901.855,1.515,0.970,-0.015
1904.358,0.746,-0.055,0.188
1906.86,0.634,0.055,0.086
1909.363,1.055,0.296,0.116
1911.865,1.034,-0.438,-0.169
1914.368,1.095,-0.297,0.027
1916.87,1.095,-0.297,0.027
1919.373,1.273,-0.219,0.202
1921.875,1.001,-0.051,0.144
1924.377,0.800,0.512,0.288
1926.88,1.045,0.992,0.329
1929.382,0.709,-0.429,0.214
1931.885,0.757,0.348,0.217
1934.387,1.145,-0.158,-0.341
1936.89,1.124,-1.110,-0.165
1939.392,1.235,-0.609,0.121
1941.895,1.640,0.137,-0.220
1944.397,0.756,0.129,0.484
1946.899,0.621,0.931,0.306
1949.402,0.405,0.101,-0.028
1951.904,0.777,-0.098,0.234
1954.407,1.600,0.335,-0.351
1956.909,1.581,-0.497,-0.062
1959.412,1.469,-0.729,0.094
1961.914,1.469,-0.729,0.094
1964.417,1.490,0.920,0.023
1966.919,0.745,-0.140,0.155
1969.421,0.640,0.019,0.215
1971.924,1.098,0.351,0.105
1974.426,1.039,-0.463,-0.223
1976.929,1.089,-0.470,0.047
1979.431,1.190,-0.181,0.232
1981.934,0.962,0.016,0.168
1984.436,0.737,0.436,0.262
1986.938,1.097,1.124,0.309
1989.441,0.659,-0.395,0.105
1991.943,0.728,0.248,0.175
1994.446,1.202,-0.024,-0.289
1996.948,1.181,-0.985,-0.203
1999.451,1.336,-0.681,0.133
2001.953,1.336,-0.681,0.133
2004.456,1.827,0.209,-0.354
2006.958,0.722,0.006,0.484
2009.46,0.539,0.852,0.301
