,train,test,features,f,k,domain
173,0.8533305684321786,0.781793583301121,"['pp', 'skewness', 'clearance']",3,5,temporal
174,0.8376007307738748,0.723894276286673,"['pp', 'kurtosis', 'shape']",3,5,temporal
175,0.8096556998087319,0.6974543845201481,"['pp', 'kurtosis', 'crest']",3,5,temporal
176,0.805471914379061,0.70248231122166,"['pp', 'kurtosis', 'impulse']",3,5,temporal
177,0.8028786470883666,0.6961210735954018,"['pp', 'kurtosis', 'clearance']",3,5,temporal
178,0.8636217405227763,0.7817857402956814,"['pp', 'shape', 'crest']",3,5,temporal
179,0.8632032954821864,0.7791101550114005,"['pp', 'shape', 'impulse']",3,5,temporal
180,0.8621993213742609,0.7754306650308398,"['pp', 'shape', 'clearance']",3,5,temporal
181,0.8125008530945019,0.6984644515778445,"['pp', 'crest', 'impulse']",3,5,temporal
182,0.822540804166251,0.7131902545055265,"['pp', 'crest', 'clearance']",3,5,temporal
183,0.8037987641941801,0.6947866422413069,"['pp', 'impulse', 'clearance']",3,5,temporal
184,0.8995150573367002,0.8249749303933267,"['aac', 'rms', 'skewness']",3,5,temporal
185,0.8630358964667012,0.7680840097925524,"['aac', 'rms', 'kurtosis']",3,5,temporal
186,0.8740802066326129,0.7948538680022184,"['aac', 'rms', 'shape']",3,5,temporal
187,0.8803553422965129,0.8122552562141813,"['aac', 'rms', 'crest']",3,5,temporal
188,0.8816104324270407,0.8048929149650146,"['aac', 'rms', 'impulse']",3,5,temporal
189,0.8847898237638004,0.8058951390172714,"['aac', 'rms', 'clearance']",3,5,temporal
190,0.789072410661319,0.6670139997647099,"['aac', 'skewness', 'kurtosis']",3,5,temporal
191,0.8761717668593348,0.7864831403393782,"['aac', 'skewness', 'shape']",3,5,temporal
192,0.8483940649121793,0.7610376296196704,"['aac', 'skewness', 'crest']",3,5,temporal
193,0.8524943433272261,0.7647182400295793,"['aac', 'skewness', 'impulse']",3,5,temporal
194,0.8537491534677635,0.7687372201027435,"['aac', 'skewness', 'clearance']",3,5,temporal
195,0.8083173126560725,0.6904315333635849,"['aac', 'kurtosis', 'shape']",3,5,temporal
196,0.793173809036327,0.6676711315776206,"['aac', 'kurtosis', 'crest']",3,5,temporal
197,0.7894916956718797,0.674034610062576,"['aac', 'kurtosis', 'impulse']",3,5,temporal
198,0.788989183636685,0.6743679377937626,"['aac', 'kurtosis', 'clearance']",3,5,temporal
199,0.8457172206093633,0.7489890926202921,"['aac', 'shape', 'crest']",3,5,temporal
200,0.8437090624010191,0.7466462748525236,"['aac', 'shape', 'impulse']",3,5,temporal
201,0.8422866782512525,0.7463123869066626,"['aac', 'shape', 'clearance']",3,5,temporal
202,0.7979419335758747,0.6777197021898791,"['aac', 'crest', 'impulse']",3,5,temporal
